task_id,problem,language,branching_factor,max_programs,beam_width,debug_prompt_id,log
1,basement,C++,2,100,2,0,INFO
2,basement,Python,2,100,2,0,INFO
3,bouncing-balls,C++,2,100,2,0,INFO
4,bouncing-balls,Python,2,100,2,0,INFO
5,bowling,C++,2,100,2,0,INFO
6,bowling,Python,2,100,2,0,INFO
7,camel-case,C++,2,100,2,0,INFO
8,camel-case,Python,2,100,2,0,INFO
9,coin-sums,C++,2,100,2,0,INFO
10,coin-sums,Python,2,100,2,0,INFO
11,cut-vector,C++,2,100,2,0,INFO
12,cut-vector,Python,2,100,2,0,INFO
13,dice-game,C++,2,100,2,0,INFO
14,dice-game,Python,2,100,2,0,INFO
15,find-pair,C++,2,100,2,0,INFO
16,find-pair,Python,2,100,2,0,INFO
17,fizz-buzz,C++,2,100,2,0,INFO
18,fizz-buzz,Python,2,100,2,0,INFO
19,fuel-cost,C++,2,100,2,0,INFO
20,fuel-cost,Python,2,100,2,0,INFO
21,gcd,C++,2,100,2,0,INFO
22,gcd,Python,2,100,2,0,INFO
23,indices-of-substring,C++,2,100,2,0,INFO
24,indices-of-substring,Python,2,100,2,0,INFO
25,leaders,C++,2,100,2,0,INFO
26,leaders,Python,2,100,2,0,INFO
27,luhn,C++,2,100,2,0,INFO
28,luhn,Python,2,100,2,0,INFO
29,mastermind,C++,2,100,2,0,INFO
30,mastermind,Python,2,100,2,0,INFO
31,middle-character,C++,2,100,2,0,INFO
32,middle-character,Python,2,100,2,0,INFO
33,paired-digits,C++,2,100,2,0,INFO
34,paired-digits,Python,2,100,2,0,INFO
35,shopping-list,C++,2,100,2,0,INFO
36,shopping-list,Python,2,100,2,0,INFO
37,snow-day,C++,2,100,2,0,INFO
38,snow-day,Python,2,100,2,0,INFO
39,solve-boolean,C++,2,100,2,0,INFO
40,solve-boolean,Python,2,100,2,0,INFO
41,spin-words,C++,2,100,2,0,INFO
42,spin-words,Python,2,100,2,0,INFO
43,square-digits,C++,2,100,2,0,INFO
44,square-digits,Python,2,100,2,0,INFO
45,substitution-cipher,C++,2,100,2,0,INFO
46,substitution-cipher,Python,2,100,2,0,INFO
47,twitter,C++,2,100,2,0,INFO
48,twitter,Python,2,100,2,0,INFO
49,vector-distance,C++,2,100,2,0,INFO
50,vector-distance,Python,2,100,2,0,INFO
51,basement,C++,4,100,4,0,INFO
52,basement,Python,4,100,4,0,INFO
53,bouncing-balls,C++,4,100,4,0,INFO
54,bouncing-balls,Python,4,100,4,0,INFO
55,bowling,C++,4,100,4,0,INFO
56,bowling,Python,4,100,4,0,INFO
57,camel-case,C++,4,100,4,0,INFO
58,camel-case,Python,4,100,4,0,INFO
59,coin-sums,C++,4,100,4,0,INFO
60,coin-sums,Python,4,100,4,0,INFO
61,cut-vector,C++,4,100,4,0,INFO
62,cut-vector,Python,4,100,4,0,INFO
63,dice-game,C++,4,100,4,0,INFO
64,dice-game,Python,4,100,4,0,INFO
65,find-pair,C++,4,100,4,0,INFO
66,find-pair,Python,4,100,4,0,INFO
67,fizz-buzz,C++,4,100,4,0,INFO
68,fizz-buzz,Python,4,100,4,0,INFO
69,fuel-cost,C++,4,100,4,0,INFO
70,fuel-cost,Python,4,100,4,0,INFO
71,gcd,C++,4,100,4,0,INFO
72,gcd,Python,4,100,4,0,INFO
73,indices-of-substring,C++,4,100,4,0,INFO
74,indices-of-substring,Python,4,100,4,0,INFO
75,leaders,C++,4,100,4,0,INFO
76,leaders,Python,4,100,4,0,INFO
77,luhn,C++,4,100,4,0,INFO
78,luhn,Python,4,100,4,0,INFO
79,mastermind,C++,4,100,4,0,INFO
80,mastermind,Python,4,100,4,0,INFO
81,middle-character,C++,4,100,4,0,INFO
82,middle-character,Python,4,100,4,0,INFO
83,paired-digits,C++,4,100,4,0,INFO
84,paired-digits,Python,4,100,4,0,INFO
85,shopping-list,C++,4,100,4,0,INFO
86,shopping-list,Python,4,100,4,0,INFO
87,snow-day,C++,4,100,4,0,INFO
88,snow-day,Python,4,100,4,0,INFO
89,solve-boolean,C++,4,100,4,0,INFO
90,solve-boolean,Python,4,100,4,0,INFO
91,spin-words,C++,4,100,4,0,INFO
92,spin-words,Python,4,100,4,0,INFO
93,square-digits,C++,4,100,4,0,INFO
94,square-digits,Python,4,100,4,0,INFO
95,substitution-cipher,C++,4,100,4,0,INFO
96,substitution-cipher,Python,4,100,4,0,INFO
97,twitter,C++,4,100,4,0,INFO
98,twitter,Python,4,100,4,0,INFO
99,vector-distance,C++,4,100,4,0,INFO
100,vector-distance,Python,4,100,4,0,INFO
101,basement,C++,16,100,16,0,INFO
102,basement,Python,16,100,16,0,INFO
103,bouncing-balls,C++,16,100,16,0,INFO
104,bouncing-balls,Python,16,100,16,0,INFO
105,bowling,C++,16,100,16,0,INFO
106,bowling,Python,16,100,16,0,INFO
107,camel-case,C++,16,100,16,0,INFO
108,camel-case,Python,16,100,16,0,INFO
109,coin-sums,C++,16,100,16,0,INFO
110,coin-sums,Python,16,100,16,0,INFO
111,cut-vector,C++,16,100,16,0,INFO
112,cut-vector,Python,16,100,16,0,INFO
113,dice-game,C++,16,100,16,0,INFO
114,dice-game,Python,16,100,16,0,INFO
115,find-pair,C++,16,100,16,0,INFO
116,find-pair,Python,16,100,16,0,INFO
117,fizz-buzz,C++,16,100,16,0,INFO
118,fizz-buzz,Python,16,100,16,0,INFO
119,fuel-cost,C++,16,100,16,0,INFO
120,fuel-cost,Python,16,100,16,0,INFO
121,gcd,C++,16,100,16,0,INFO
122,gcd,Python,16,100,16,0,INFO
123,indices-of-substring,C++,16,100,16,0,INFO
124,indices-of-substring,Python,16,100,16,0,INFO
125,leaders,C++,16,100,16,0,INFO
126,leaders,Python,16,100,16,0,INFO
127,luhn,C++,16,100,16,0,INFO
128,luhn,Python,16,100,16,0,INFO
129,mastermind,C++,16,100,16,0,INFO
130,mastermind,Python,16,100,16,0,INFO
131,middle-character,C++,16,100,16,0,INFO
132,middle-character,Python,16,100,16,0,INFO
133,paired-digits,C++,16,100,16,0,INFO
134,paired-digits,Python,16,100,16,0,INFO
135,shopping-list,C++,16,100,16,0,INFO
136,shopping-list,Python,16,100,16,0,INFO
137,snow-day,C++,16,100,16,0,INFO
138,snow-day,Python,16,100,16,0,INFO
139,solve-boolean,C++,16,100,16,0,INFO
140,solve-boolean,Python,16,100,16,0,INFO
141,spin-words,C++,16,100,16,0,INFO
142,spin-words,Python,16,100,16,0,INFO
143,square-digits,C++,16,100,16,0,INFO
144,square-digits,Python,16,100,16,0,INFO
145,substitution-cipher,C++,16,100,16,0,INFO
146,substitution-cipher,Python,16,100,16,0,INFO
147,twitter,C++,16,100,16,0,INFO
148,twitter,Python,16,100,16,0,INFO
149,vector-distance,C++,16,100,16,0,INFO
150,vector-distance,Python,16,100,16,0,INFO
151,basement,C++,1,100,1,0,INFO
152,basement,Python,1,100,1,0,INFO
153,bouncing-balls,C++,1,100,1,0,INFO
154,bouncing-balls,Python,1,100,1,0,INFO
155,bowling,C++,1,100,1,0,INFO
156,bowling,Python,1,100,1,0,INFO
157,camel-case,C++,1,100,1,0,INFO
158,camel-case,Python,1,100,1,0,INFO
159,coin-sums,C++,1,100,1,0,INFO
160,coin-sums,Python,1,100,1,0,INFO
161,cut-vector,C++,1,100,1,0,INFO
162,cut-vector,Python,1,100,1,0,INFO
163,dice-game,C++,1,100,1,0,INFO
164,dice-game,Python,1,100,1,0,INFO
165,find-pair,C++,1,100,1,0,INFO
166,find-pair,Python,1,100,1,0,INFO
167,fizz-buzz,C++,1,100,1,0,INFO
168,fizz-buzz,Python,1,100,1,0,INFO
169,fuel-cost,C++,1,100,1,0,INFO
170,fuel-cost,Python,1,100,1,0,INFO
171,gcd,C++,1,100,1,0,INFO
172,gcd,Python,1,100,1,0,INFO
173,indices-of-substring,C++,1,100,1,0,INFO
174,indices-of-substring,Python,1,100,1,0,INFO
175,leaders,C++,1,100,1,0,INFO
176,leaders,Python,1,100,1,0,INFO
177,luhn,C++,1,100,1,0,INFO
178,luhn,Python,1,100,1,0,INFO
179,mastermind,C++,1,100,1,0,INFO
180,mastermind,Python,1,100,1,0,INFO
181,middle-character,C++,1,100,1,0,INFO
182,middle-character,Python,1,100,1,0,INFO
183,paired-digits,C++,1,100,1,0,INFO
184,paired-digits,Python,1,100,1,0,INFO
185,shopping-list,C++,1,100,1,0,INFO
186,shopping-list,Python,1,100,1,0,INFO
187,snow-day,C++,1,100,1,0,INFO
188,snow-day,Python,1,100,1,0,INFO
189,solve-boolean,C++,1,100,1,0,INFO
190,solve-boolean,Python,1,100,1,0,INFO
191,spin-words,C++,1,100,1,0,INFO
192,spin-words,Python,1,100,1,0,INFO
193,square-digits,C++,1,100,1,0,INFO
194,square-digits,Python,1,100,1,0,INFO
195,substitution-cipher,C++,1,100,1,0,INFO
196,substitution-cipher,Python,1,100,1,0,INFO
197,twitter,C++,1,100,1,0,INFO
198,twitter,Python,1,100,1,0,INFO
199,vector-distance,C++,1,100,1,0,INFO
200,vector-distance,Python,1,100,1,0,INFO
201,basement,C++,10,100,10,0,INFO
202,basement,Python,10,100,10,0,INFO
203,bouncing-balls,C++,10,100,10,0,INFO
204,bouncing-balls,Python,10,100,10,0,INFO
205,bowling,C++,10,100,10,0,INFO
206,bowling,Python,10,100,10,0,INFO
207,camel-case,C++,10,100,10,0,INFO
208,camel-case,Python,10,100,10,0,INFO
209,coin-sums,C++,10,100,10,0,INFO
210,coin-sums,Python,10,100,10,0,INFO
211,cut-vector,C++,10,100,10,0,INFO
212,cut-vector,Python,10,100,10,0,INFO
213,dice-game,C++,10,100,10,0,INFO
214,dice-game,Python,10,100,10,0,INFO
215,find-pair,C++,10,100,10,0,INFO
216,find-pair,Python,10,100,10,0,INFO
217,fizz-buzz,C++,10,100,10,0,INFO
218,fizz-buzz,Python,10,100,10,0,INFO
219,fuel-cost,C++,10,100,10,0,INFO
220,fuel-cost,Python,10,100,10,0,INFO
221,gcd,C++,10,100,10,0,INFO
222,gcd,Python,10,100,10,0,INFO
223,indices-of-substring,C++,10,100,10,0,INFO
224,indices-of-substring,Python,10,100,10,0,INFO
225,leaders,C++,10,100,10,0,INFO
226,leaders,Python,10,100,10,0,INFO
227,luhn,C++,10,100,10,0,INFO
228,luhn,Python,10,100,10,0,INFO
229,mastermind,C++,10,100,10,0,INFO
230,mastermind,Python,10,100,10,0,INFO
231,middle-character,C++,10,100,10,0,INFO
232,middle-character,Python,10,100,10,0,INFO
233,paired-digits,C++,10,100,10,0,INFO
234,paired-digits,Python,10,100,10,0,INFO
235,shopping-list,C++,10,100,10,0,INFO
236,shopping-list,Python,10,100,10,0,INFO
237,snow-day,C++,10,100,10,0,INFO
238,snow-day,Python,10,100,10,0,INFO
239,solve-boolean,C++,10,100,10,0,INFO
240,solve-boolean,Python,10,100,10,0,INFO
241,spin-words,C++,10,100,10,0,INFO
242,spin-words,Python,10,100,10,0,INFO
243,square-digits,C++,10,100,10,0,INFO
244,square-digits,Python,10,100,10,0,INFO
245,substitution-cipher,C++,10,100,10,0,INFO
246,substitution-cipher,Python,10,100,10,0,INFO
247,twitter,C++,10,100,10,0,INFO
248,twitter,Python,10,100,10,0,INFO
249,vector-distance,C++,10,100,10,0,INFO
250,vector-distance,Python,10,100,10,0,INFO
251,basement,C++,100,100,100,0,INFO
252,basement,Python,100,100,100,0,INFO
253,bouncing-balls,C++,100,100,100,0,INFO
254,bouncing-balls,Python,100,100,100,0,INFO
255,bowling,C++,100,100,100,0,INFO
256,bowling,Python,100,100,100,0,INFO
257,camel-case,C++,100,100,100,0,INFO
258,camel-case,Python,100,100,100,0,INFO
259,coin-sums,C++,100,100,100,0,INFO
260,coin-sums,Python,100,100,100,0,INFO
261,cut-vector,C++,100,100,100,0,INFO
262,cut-vector,Python,100,100,100,0,INFO
263,dice-game,C++,100,100,100,0,INFO
264,dice-game,Python,100,100,100,0,INFO
265,find-pair,C++,100,100,100,0,INFO
266,find-pair,Python,100,100,100,0,INFO
267,fizz-buzz,C++,100,100,100,0,INFO
268,fizz-buzz,Python,100,100,100,0,INFO
269,fuel-cost,C++,100,100,100,0,INFO
270,fuel-cost,Python,100,100,100,0,INFO
271,gcd,C++,100,100,100,0,INFO
272,gcd,Python,100,100,100,0,INFO
273,indices-of-substring,C++,100,100,100,0,INFO
274,indices-of-substring,Python,100,100,100,0,INFO
275,leaders,C++,100,100,100,0,INFO
276,leaders,Python,100,100,100,0,INFO
277,luhn,C++,100,100,100,0,INFO
278,luhn,Python,100,100,100,0,INFO
279,mastermind,C++,100,100,100,0,INFO
280,mastermind,Python,100,100,100,0,INFO
281,middle-character,C++,100,100,100,0,INFO
282,middle-character,Python,100,100,100,0,INFO
283,paired-digits,C++,100,100,100,0,INFO
284,paired-digits,Python,100,100,100,0,INFO
285,shopping-list,C++,100,100,100,0,INFO
286,shopping-list,Python,100,100,100,0,INFO
287,snow-day,C++,100,100,100,0,INFO
288,snow-day,Python,100,100,100,0,INFO
289,solve-boolean,C++,100,100,100,0,INFO
290,solve-boolean,Python,100,100,100,0,INFO
291,spin-words,C++,100,100,100,0,INFO
292,spin-words,Python,100,100,100,0,INFO
293,square-digits,C++,100,100,100,0,INFO
294,square-digits,Python,100,100,100,0,INFO
295,substitution-cipher,C++,100,100,100,0,INFO
296,substitution-cipher,Python,100,100,100,0,INFO
297,twitter,C++,100,100,100,0,INFO
298,twitter,Python,100,100,100,0,INFO
299,vector-distance,C++,100,100,100,0,INFO
300,vector-distance,Python,100,100,100,0,INFO
