Problem	Succ.	Gen.	Size	Time	
Basement	1	1.00	18	250	
Bouncing Balls	0	0.00	-	311	
Bowling	0	-	-	206	
Camel Case	1	1.00	20	95	
Coin Sums	2	1.00	33	213	
Cut Vector	0	-	-	194	
Dice Game	0	-	-	287	
Find Pair	4	1.00	16	763	
Fizz Buzz	25	0.96	19	281	
Fuel Cost	50	1.00	9	305	
GCD	8	0.67	19	198	
Indices of Substring	0	-	-	241	
Leaders	0	-	-	302	
Luhn	0	-	-	239	
Mastermind	0	0	0.98	9	395
Middle Character	57	0.86	10	547	
Paired Digits	8	1.00	15	250	
Shopping List	0	-	-	714	
Snow Day	4	1.00	11	263	
Solve Boolean	5	1.00	18	373	
Spin Words	0	-	-	443	
Square Digits	0	-	-	667	
Substitution Cipher	60	-	-	435	
Twitter	02	527			
Vector Distance	0	-	-	126	